Country,Year,Life Expectancy
Afghanistan,2015,55.2
Afghanistan,2016,54
Afghanistan,2017,53.5999
Afghanistan,2018,53
Afghanistan,2019,53.8548
Afghanistan,2020,52.59000015
Mexico,2015,67.40000153
Mexico,2016,67.69999695
Mexico,2017,68
Mexico,2018,68.30000305
Mexico,2019,68.2999932
Mexico,2020,68.29902649
Turkey,2015,65.59999847
Turkey,2016,66
Turkey,2017,66.40000153
Turkey,2018,66.80000305
Turkey,2019,66.85000023
Turkey,2020,66.90281677
Iraq,2015,58.40000153
Iraq,2016,59
Iraq,2017,59.59999847
Iraq,2018,59.23000525
Iraq,2019,59.4562092
Iraq,2020,59.90354919
Yemen,2015,54.29999924
Yemen,2016,55.09999847
Yemen,2017,55.90000153
Yemen,2018,56.70000076
Yemen,2019,56.71283257
Yemen,2020,56.72728348
